number_of_teams,fixtures_left,number_of_constraints,runtime
4,4,3,0.050982
4,4,3,0.05074
4,4,3,0.049409
4,4,3,0.049842
4,4,1,0.048713
4,4,1,0.053513
4,4,1,0.049617
4,4,1,0.050003
4,4,1,0.048261
4,4,1,0.052455
4,4,1,0.053011
4,4,1,0.051895
4,4,1,0.051378
4,4,1,0.047819
4,4,2,0.050604
4,4,2,0.049904
4,4,2,0.047728
4,4,2,0.048735
4,4,2,0.048039
4,4,2,0.049618
4,4,2,0.049993
4,4,2,0.050038
4,4,2,0.049251
4,4,2,0.049575
4,4,3,0.051188
4,4,3,0.049144
4,4,3,0.049335
4,4,3,0.049916
4,4,3,0.050249
4,4,3,0.050699
4,4,3,0.049225
4,4,3,0.048874
4,4,3,0.048939
4,4,3,0.047973
4,4,1,0.04687
4,4,1,0.048738
4,4,1,0.049829
4,4,1,0.049935
4,4,1,0.050662
4,4,1,0.048588
4,4,1,0.053333
4,4,1,0.051981
4,4,1,0.049844
4,4,1,0.049494
4,4,2,0.04902
4,4,2,0.049018
4,4,2,0.04982
4,4,2,0.049238
4,4,2,0.048427
4,4,2,0.049243
4,4,2,0.050297
4,4,2,0.05108
4,4,2,0.05128
4,4,2,0.051109
4,4,3,0.051237
4,4,3,0.050538
4,4,3,0.050432
4,4,3,0.047035
4,4,3,0.048329
4,4,3,0.04996
4,4,3,0.051102
4,4,3,0.050475
4,4,3,0.048926
4,4,3,0.047639
4,4,1,0.045417
4,4,1,0.048081
4,4,1,0.049791
4,4,1,0.047332
4,4,1,0.050247
4,4,1,0.052389
4,4,1,0.051142
4,4,1,0.047841
4,4,1,0.051941
4,4,1,0.048882
4,4,2,0.048783
4,4,2,0.050091
4,4,2,0.051286
4,4,2,0.051672
4,4,2,0.049155
4,4,2,0.049011
4,4,2,0.048944
4,4,2,0.049243
4,4,2,0.050094
4,4,2,0.051641
4,4,3,0.049567
4,4,3,0.04819
4,4,3,0.049432
4,4,3,0.05083
4,4,3,0.049307
4,4,3,0.050265
4,4,3,0.049439
4,4,3,0.050718
4,4,3,0.050747
4,4,3,0.050515
4,4,1,0.060653
4,4,1,0.068483
4,4,1,0.052403
4,4,1,0.051011
4,4,1,0.049509
4,4,1,0.052266
4,4,1,0.051958
4,4,1,0.053801
4,4,1,0.052909
4,4,1,0.051985
4,4,2,0.050734
4,4,2,0.0509
4,4,2,0.050498
4,4,2,0.050003
4,4,2,0.050593
4,4,2,0.048966
4,4,2,0.050951
4,4,2,0.050127
4,4,2,0.0492
4,4,2,0.051419
4,4,3,0.050535
4,4,3,0.048081
4,4,3,0.050507
4,4,3,0.050811
4,4,3,0.048897
4,4,3,0.050779
4,4,3,0.053384
4,4,3,0.052403
4,4,3,0.050796
4,4,3,0.050216
4,4,1,0.045939
4,4,1,0.048525
4,4,1,0.047109
4,4,1,0.048475
4,4,1,0.049634
4,4,1,0.050726
4,4,1,0.053588
4,4,1,0.050509
4,4,1,0.04957
4,4,1,0.050368
4,4,2,0.048775
4,4,2,0.050431
4,4,2,0.050009
4,4,2,0.050789
4,4,2,0.050055
4,4,2,0.049106
4,4,2,0.051602
4,4,2,0.050473
4,4,2,0.047584
4,4,2,0.050367
4,4,3,0.050133
4,4,3,0.048732
4,4,3,0.051999
4,4,3,0.054227
4,4,3,0.05701
4,4,3,0.057743
4,4,3,0.05439
4,4,3,0.054702
4,4,3,0.054421
4,4,3,0.054475
4,4,1,0.045405
4,4,1,0.049092
4,4,1,0.04946
4,4,1,0.049469
4,4,1,0.050282
4,4,1,0.051359
4,4,1,0.05053
4,4,1,0.048453
4,4,1,0.05216
4,4,1,0.048973
4,4,2,0.050821
4,4,2,0.052116
4,4,2,0.049849
4,4,2,0.050077
4,4,2,0.051067
4,4,2,0.049822
4,4,2,0.051211
4,4,2,0.05144
4,4,2,0.051006
4,4,2,0.051034
4,4,3,0.050054
4,4,3,0.05027
4,4,3,0.050172
4,4,3,0.049338
4,4,3,0.050295
4,4,3,0.050156
4,4,3,0.04916
4,4,3,0.047856
4,4,3,0.050472
4,4,3,0.050326
4,4,1,0.045303
4,4,1,0.048028
4,4,1,0.050612
4,4,1,0.047372
4,4,1,0.05073
4,4,1,0.051222
4,4,1,0.050416
4,4,1,0.04862
4,4,1,0.051337
4,4,1,0.048226
4,4,2,0.050165
4,4,2,0.050851
4,4,2,0.049501
4,4,2,0.04939
4,4,2,0.049706
4,4,2,0.049952
4,4,2,0.049952
4,4,2,0.051404
4,4,2,0.050154
4,4,2,0.051847
4,4,3,0.050743
4,4,3,0.049525
4,4,3,0.048733
